Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
25,-,NR,NR,NR,NR,NR,0.73,0.4,0.9,1.19,0.62,0.48,36.18,0.4,0.25,6.76,4.34,5.12
26,-,NR,NR,NR,NR,NR,0.46,0.41,0.58,1.18,1.17,0.45,31.78,0.22,0.26,6.74,3.56,4.17
27,-,NR,NR,NR,NR,NR,0.16,0.17,0.47,0.88,1.61,0.33,32.04,0.31,0.33,4.72,3.53,-
28,-,NR,NR,NR,NR,NR,0.47,0.27,0.2,0.77,1.92,0.47,27.54,0.68,0.6,4.58,4.13,-
29,-,NR,NR,NR,NR,NR,0.57,0.36,0.31,1.2,1.39,0.33,27.11,0.5,0.67,3.67,3.16,-
30,-,NR,NR,NR,NR,NR,0.63,0,0.18,1.97,3.18,0.86,27.56,1.36,0.31,5.13,3.18,-
31,-,NR,NR,NR,NR,NR,1.27,0.32,0,2.12,1.97,0.62,23.67,1.05,0.77,9.49,3.81,-
32,-,NR,NR,NR,NR,NR,0.32,0.16,0.41,1.33,2.94,0.64,22.55,1.73,0.91,7.54,3.39,-
33,-,NR,NR,NR,NR,NR,0.39,0.15,0.61,1.39,1.7,0.09,24.36,1.06,1.06,6.72,3.15,-
34,-,NR,NR,NR,NR,NR,0.0,0.49,0.39,1.67,1.97,0.55,22.03,2.03,1,4.18,2.69,-
35,-,NR,NR,NR,NR,NR,0.0,0.48,0.57,1.87,2.49,0.39,22.29,1.27,0.78,3.06,4.45,-
36,-,NR,NR,NR,NR,NR,0.39,0.36,0.1,1.48,2.2,0.45,24.01,1.54,0.63,3.05,4.03,-
37,-,NR,NR,NR,NR,NR,0.17,0.77,0.45,2.91,2.44,0.7,25.59,1.85,0.9,2.23,3.82,-
38,-,NR,NR,NR,NR,NR,0.37,0.45,0.16,3.51,3.14,1.06,26.99,1.62,0.8,3.08,3.52,-
39,-,NR,NR,NR,NR,NR,0.0,1.52,0.49,2.99,1.9,0.6,31.98,1.34,1.2,3.59,4.61,-
40,0,0.14,1.07,0.07,0.69,0,1.54,0.65,0.58,2.43,1.85,0.62,33.54,2.14,1.03,3.71,4.02,-
41,0.73,0.34,1.06,0.27,0.35,0.2,4.58,0.65,0.55,2.68,1.74,0.8,37.58,3.2,0.57,4.12,3.99,-
42,1.1,0.18,2.24,0.24,0.54,0,11.63,1.62,1.06,2.76,1.63,1.26,39.38,3.38,0.82,5.95,3.22,-
43,0.42,0.33,2.64,0.83,1.07,0.34,17.83,1.22,0.5,2.59,1.57,1.78,35.58,3.92,1.17,6.9,3.56,-
44,0.53,0.88,3.91,0.81,0.76,0.37,19.43,1.62,0.8,3.8,2.07,1.21,30.93,5.36,0.96,7.95,4.72,-
45,0.28,0.63,5.75,1.99,0.71,0.25,24.26,2.02,1.3,3.64,2.24,1.71,27.61,6.51,1.13,10.03,5.81,-
46,0.36,0.39,8.07,1.97,2.19,0.47,28.1,2.78,1.22,2.94,2.11,1.4,19.62,8.73,0.96,13.32,7.3,-
47,0.91,0.94,10.56,3.5,1.61,1.05,33.12,1.96,1.59,3.55,3.47,1.77,14.56,10.61,1.83,19.15,9.18,-
48,1.65,1.17,13.71,3.91,3.08,0.79,34.74,3.58,2.86,3.7,3.32,2.25,10.74,9.99,1.54,22.89,12.07,-
49,1.53,1.85,19.11,5.67,3.56,1.66,34.06,5.02,5.54,4.55,3.67,2.27,7.64,13.25,2.29,29.86,18.29,-
50,3.18,1.73,23.33,6.9,4.6,3.89,32.93,6.56,8.64,8.09,4.17,3.16,6.44,18.85,2.71,33.04,20.77,-
51,7.13,3.76,30.96,11.69,5.8,6.56,30.8,11.78,12.75,10.29,5.34,4.33,4.95,25.04,3.82,37.87,28.12,-
52,12.6,5.91,29.37,13.87,8.39,6.76,24.73,16.76,13.48,10.39,7.15,4.73,4.87,26.27,3.33,38.43,31.03,-
53,17.95,-,-,-,-,-,20.1,-,-,-,-,5.54,-,-,-,-,-,-
